Tamanho de n,Quick Sort,Merge Sort,Heap Sort,Counting Sort,Radix Sort,Bucket Sort
10,0.010938350001055142,0.01015599999938388,0.007864649999689277,0.08055139999996186,0.01716184999942527,0.007376250000135087
100,0.17801270000106229,0.16256879999936302,0.11557289999899467,0.10820790000032332,0.0896030500005196,0.037963100000482086
1000,1.833561599999456,1.9079794000010253,2.1415363499993845,0.42817440000035845,1.5185569000010446,0.3811407000004152
5000,7.352624399999996,14.850131600000438,13.821938049999005,1.6519495500013193,7.6882556999997576,1.91143045000004
10000,12.384413499999525,27.079001499999578,32.80162605000072,3.2212178500007127,15.314901500000744,3.926669799999516
20000,23.251829750000397,57.5446613000004,71.10524565000098,8.081947399999834,33.242970100000946,8.232238200000452
30000,35.2093950000004,82.54880879999966,110.34293620000035,10.323306249999575,54.27688995000004,11.743961649999335
40000,46.188694099999594,130.43267570000125,165.25053960000128,12.536851599999466,73.80929185000298,18.131305700002542
50000,59.20520290000013,169.44538979999848,205.9318340499992,18.091930700000347,82.33015469999998,20.26605684999936
20000,24.74432825000008,54.0986528000019,70.04519985000144,6.245592500000896,30.955791700000646,7.404111750000197
30000,42.23011089999886,86.79639260000158,114.62225629999949,9.588331550003204,48.74166199999905,12.843339449995028
40000,43.28019180000382,123.38290784999799,155.78549915000366,12.223060500001282,63.57831555000644,18.19624155000099
50000,52.409926200004975,160.51325245000072,207.04472124999995,19.04371010000574,83.37273334999651,19.934082750002347
